Time,Temperature
0.477789015,9.109248673
0.477789015,8.938391779
0.477789015,7.742393519
0.477789015,7.571536625
0.477789015,7.40067973
0.477789015,7.229822836
0.477789015,7.058965942
0.477789015,6.888109047
0.477789015,6.717252153
0.477789015,6.546395259
0.477789015,6.375538364
0.477789015,6.20468147
0.477789015,6.033824576
0.477789015,5.862967682
0.477789015,5.692110787
0.477789015,5.521253893
0.477789015,5.350396999
0.477789015,5.179540104
0.477789015,5.00868321
0.477789015,4.837826316
0.477789015,4.666969421
0.477789015,2.787543584
0.477789015,2.61668669
0.477789015,2.445829795
0.477789015,2.274972901
0.477789015,1.933259113
0.97852414,10.6472642
0.97852414,10.4764073
0.97852414,10.30555041
0.97852414,9.451265938
0.97852414,9.109552149
0.97852414,8.938695255
0.97852414,8.596981466
0.97852414,8.426124572
0.97852414,8.255267678
0.97852414,8.084410783
0.97852414,7.913553889
0.97852414,7.742696995
0.97852414,7.5718401
0.97852414,7.400983206
0.97852414,7.230126312
0.97852414,7.059269417
0.97852414,6.888412523
0.97852414,6.717555629
0.97852414,6.546698735
0.97852414,6.37584184
0.97852414,6.204984946
0.97852414,6.034128052
0.97852414,5.863271157
0.97852414,5.692414263
0.97852414,5.521557369
0.97852414,5.350700474
0.97852414,5.17984358
0.97852414,5.008986686
0.97852414,4.838129792
0.97852414,4.667272897
0.97852414,4.496416003
0.97852414,2.958703954
0.97852414,2.78784706
0.97852414,2.616990166
0.97852414,2.446133271
0.97852414,2.275276377
0.97852414,2.104419483
1.479259266,12.01442283
1.479259266,11.84356593
1.479259266,11.67270904
1.479259266,11.50185215
1.479259266,11.33099525
1.479259266,11.16013836
1.479259266,10.98928146
1.479259266,10.81842457
1.479259266,10.64756767
1.479259266,10.47671078
1.479259266,10.30585389
1.479259266,10.13499699
1.479259266,9.964140096
1.479259266,9.793283202
1.479259266,9.622426308
1.479259266,9.451569414
1.479259266,9.280712519
1.479259266,9.109855625
1.479259266,8.938998731
1.479259266,8.768141836
1.479259266,8.597284942
1.479259266,8.426428048
1.479259266,8.255571153
1.479259266,8.084714259
1.479259266,7.913857365
1.479259266,7.743000471
1.479259266,7.572143576
1.479259266,4.838433267
1.479259266,4.667576373
1.479259266,2.95900743
1.479259266,2.788150536
1.479259266,2.617293641
1.479259266,2.446436747
1.479259266,2.275579853
